"track","duration_min","duration_category"
"Color Esperanza 2020",3,"Medium (3-5 min)"
"Tattoo - Remix with Camilo",3,"Medium (3-5 min)"
"Here to Stay",4,"Medium (3-5 min)"
"Hold Me Closer",3,"Medium (3-5 min)"
"Toxic",3,"Medium (3-5 min)"
"Gimme More",4,"Medium (3-5 min)"
"...Baby One More Time",3,"Medium (3-5 min)"
"Oops!...I Did It Again",3,"Medium (3-5 min)"
"My Only Wish (This Year)",4,"Medium (3-5 min)"
"Womanizer",3,"Medium (3-5 min)"
"Circus",3,"Medium (3-5 min)"
"Criminal",3,"Medium (3-5 min)"
"If U Seek Amy",3,"Medium (3-5 min)"
"Pepas",4,"Medium (3-5 min)"
"Diles",4,"Medium (3-5 min)"
"Si Se Da - Remix",5,"Long (> 5 min)"
"Fantasias",3,"Medium (3-5 min)"
"Calma - Remix",3,"Medium (3-5 min)"
"On My Way",3,"Medium (3-5 min)"
"Si Me Dices Que Sí",3,"Medium (3-5 min)"
"Passion Whine",3,"Medium (3-5 min)"
"Color Esperanza 2020",3,"Medium (3-5 min)"
"Patio de la Cárcel - Tangos",3,"Medium (3-5 min)"
"Besos Moja2",3,"Medium (3-5 min)"
"Mayor Que Usted",3,"Medium (3-5 min)"
"Vapor",3,"Medium (3-5 min)"
"Si Te Pillo",3,"Medium (3-5 min)"
"Noche De Entierro",4,"Medium (3-5 min)"
"Algo Me Gusta De Ti",4,"Medium (3-5 min)"
"Noche De Sexo",3,"Medium (3-5 min)"
"Sexy Movimiento",3,"Medium (3-5 min)"
"Si Supieras",4,"Medium (3-5 min)"
"All I Want - From ""High School Musical: The Musical: The Series""",2,"Short (< 3 min)"
"I'll Make a Man Out of You",3,"Medium (3-5 min)"
"Part of Your World",3,"Medium (3-5 min)"
"Word Up!",2,"Short (< 3 min)"
"If Only",3,"Medium (3-5 min)"
"Under the Sea",3,"Medium (3-5 min)"
"Zero To Hero",2,"Short (< 3 min)"
"I Won't Say (I'm In Love)",2,"Short (< 3 min)"
"A Whole New World - Remastered 2022",2,"Short (< 3 min)"
"Be Our Guest",3,"Medium (3-5 min)"
"Gotta Go My Own Way",3,"Medium (3-5 min)"
"No llora",4,"Medium (3-5 min)"
"Under The Influence",3,"Medium (3-5 min)"
"Superhero (Heroes & Villains) [with Future & Chris Brown]",3,"Medium (3-5 min)"
"No Guidance (feat. Drake)",4,"Medium (3-5 min)"
"Nostálgico",3,"Medium (3-5 min)"
"Go Crazy",2,"Short (< 3 min)"
"Invierno del 92",4,"Medium (3-5 min)"
"Forever",4,"Medium (3-5 min)"
"Wet The Bed (feat. Ludacris)",4,"Medium (3-5 min)"
"Under The Influence (Body Language)",2,"Short (< 3 min)"
"Monalisa",3,"Medium (3-5 min)"
"With You",4,"Medium (3-5 min)"
"The Color Violet",3,"Medium (3-5 min)"
"Lavender Sunflower",2,"Short (< 3 min)"
"Say It",3,"Medium (3-5 min)"
"Broke In A Minute",2,"Short (< 3 min)"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",3,"Medium (3-5 min)"
"Lady Of Namek",3,"Medium (3-5 min)"
"In For It",4,"Medium (3-5 min)"
"The Take (feat. Chris Brown)",3,"Medium (3-5 min)"
"I LIKE",2,"Short (< 3 min)"
"Forget You",3,"Medium (3-5 min)"
"And This is Just The Intro",5,"Long (> 5 min)"
"All I Want for Christmas Is You",4,"Medium (3-5 min)"
"Christmas (Baby Please Come Home)",2,"Short (< 3 min)"
"Fantasy",4,"Medium (3-5 min)"
"Always Be My Baby",4,"Medium (3-5 min)"
"We Belong Together",3,"Medium (3-5 min)"
"The King and I (feat. CeeLo Green) - From the Original Motion Picture Soundtrack ELVIS",3,"Medium (3-5 min)"
"I Know What You Want (feat. Flipmode Squad)",5,"Long (> 5 min)"
"Without You",3,"Medium (3-5 min)"
"Obsessed",4,"Medium (3-5 min)"
"Hero",4,"Medium (3-5 min)"
"O Holy Night",4,"Medium (3-5 min)"
"Mallipoo",4,"Medium (3-5 min)"
"Enna Sona",3,"Medium (3-5 min)"
"Param Sundari",3,"Medium (3-5 min)"
"Rait Zara Si",4,"Medium (3-5 min)"
"Raanjhanaa",4,"Medium (3-5 min)"
"Jashn-E-Bahaaraa",5,"Long (> 5 min)"
