"track","tempo","tempo_category"
"Drunk in Love (feat. Jay-Z)","140.036","Cepat"
"Run the World (Girls)","127.091","Cepat"
"ULALA (OOH LA LA)","96.986","Sedang"
"La Santa","93.037","Sedang"
"Gasolina","96.008","Sedang"
"X ÚLTIMA VEZ","90.04","Sedang"
"Lo Que Pasó, Pasó","97.014","Sedang"
"Despacito","177.928","Cepat"
"Con Calma","93.989","Sedang"
"Tu Príncipe","94.017","Sedang"
"Llamado de Emergencia","97.982","Sedang"
"Ella Me Levanto","100.046","Sedang"
"Used (feat. Don Toliver)","150.073","Cepat"
"No Idea","127.998","Cepat"
"Outer Level","125.993","Cepat"
"After Party","162.948","Cepat"
"Lemonade (feat. Gunna, Don Toliver & NAV)","140.042","Cepat"
"Do It Right","69.808","Lambat"
"Cardigan","142.046","Cepat"
"Honest (feat. Don Toliver)","150.002","Cepat"
"Mystery Lady","76.006","Lambat"
"Drugs N Hella Melodies (feat. Kali Uchis)","147","Cepat"
"Dancin (feat. Luvli) - BOXINBOX Remix","100.039","Sedang"
"Scrape It Off (feat. Lil Uzi Vert & Don Toliver)","106.726","Sedang"
"La Mitad","97.194","Sedang"
"KESI - Remix","122.959","Cepat"
"Desconocidos","174.107","Cepat"
"Aeropuerto","197.635","Cepat"
"Índigo","128.925","Cepat"
"Si Me Dices Que Sí","183.89","Cepat"
"El Mismo Aire - con Pablo Alborán","144.511","Cepat"
"Bebiendo Sola","78.791","Lambat"
"Color Esperanza 2020","106.002","Sedang"
"Tattoo - Remix with Camilo","193.922","Cepat"
"Here to Stay","100.002","Sedang"
"Hold Me Closer","126.027","Cepat"
"Toxic","143.04","Cepat"
"Gimme More","113.324","Sedang"
"...Baby One More Time","92.96","Sedang"
"Oops!...I Did It Again","95.053","Sedang"
"My Only Wish (This Year)","147.08","Cepat"
"Womanizer","139","Cepat"
"Circus","114.98","Sedang"
"Criminal","107.987","Sedang"
"If U Seek Amy","129.954","Cepat"
"Pepas","130.001","Cepat"
"Diles","118.033","Sedang"
"Si Se Da - Remix","93.999","Sedang"
"Fantasias","94.004","Sedang"
"Calma - Remix","126.9","Cepat"
"On My Way","169.775","Cepat"
"Si Me Dices Que Sí","183.89","Cepat"
"Passion Whine","162.006","Cepat"
"Color Esperanza 2020","106.002","Sedang"
"Patio de la Cárcel - Tangos","97.982","Sedang"
"Besos Moja2","94.048","Sedang"
"Mayor Que Usted","184.08","Cepat"
"Vapor","94.009","Sedang"
"Si Te Pillo","180.1","Cepat"
"Noche De Entierro","96.994","Sedang"
"Algo Me Gusta De Ti","127.953","Cepat"
"Noche De Sexo","94.006","Sedang"
"Sexy Movimiento","104.986","Sedang"
"Si Supieras","184.019","Cepat"
"All I Want - From ""High School Musical: The Musical: The Series""","77.599","Lambat"
"I'll Make a Man Out of You","113.852","Sedang"
"Part of Your World","61.551","Lambat"
"Word Up!","116.045","Sedang"
"If Only","152.062","Cepat"
"Under the Sea","98.957","Sedang"
"Zero To Hero","164.718","Cepat"
"I Won't Say (I'm In Love)","121.208","Cepat"
"A Whole New World - Remastered 2022","129.272","Cepat"
"Be Our Guest","73.531","Lambat"
"Gotta Go My Own Way","88.995","Lambat"
"No llora","83.965","Lambat"
"Under The Influence","116.992","Sedang"
"Superhero (Heroes & Villains) [with Future & Chris Brown]","116.622","Sedang"
"No Guidance (feat. Drake)","92.928","Sedang"
"Nostálgico","98.026","Sedang"
"Go Crazy","94.148","Sedang"
"Invierno del 92","105.022","Sedang"
"Forever","120.005","Cepat"
"Wet The Bed (feat. Ludacris)","123.801","Cepat"
"Under The Influence (Body Language)","144.835","Cepat"
"Monalisa","113.017","Sedang"
"With You","86.009","Lambat"
"The Color Violet","105.02","Sedang"
"Lavender Sunflower","88.894","Lambat"
"Say It","107.331","Sedang"
"Broke In A Minute","120.009","Cepat"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","145.013","Cepat"
"Lady Of Namek","134.985","Cepat"
"In For It","105.971","Sedang"
"The Take (feat. Chris Brown)","67.003","Lambat"
"I LIKE","118.027","Sedang"
"Forget You","127.39","Cepat"
"And This is Just The Intro","137.554","Cepat"
"All I Want for Christmas Is You","150.273","Cepat"
"Christmas (Baby Please Come Home)","127.148","Cepat"
"Fantasy","102.322","Sedang"
"Always Be My Baby","78.946","Lambat"
"We Belong Together","139.986","Cepat"
"The King and I (feat. CeeLo Green) - From the Original Motion Picture Soundtrack ELVIS","93.042","Sedang"
"I Know What You Want (feat. Flipmode Squad)","85.996","Lambat"
"Without You","122.06","Cepat"
"Obsessed","86.443","Lambat"
"Hero","119.987","Sedang"
"O Holy Night","173.977","Cepat"
"Mallipoo","175.589","Cepat"
"Enna Sona","100.026","Sedang"
"Param Sundari","121.999","Cepat"
"Rait Zara Si","125.998","Cepat"
"Raanjhanaa","112.941","Sedang"
"Jashn-E-Bahaaraa","137.864","Cepat"
"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") - Tamil","152","Cepat"
"Ennodu Nee Irundhaal","158.125","Cepat"
"Kun Faya Kun","87.549","Lambat"
"Tere Bina","144.033","Cepat"
"Teil 23 - Das Geheimnis der Geisterinsel","63.653","Lambat"
"Teil 10 - Das Geheimnis der Geisterinsel","175.024","Cepat"
"Teil 1 - Das Geheimnis der Geisterinsel","50.977","Lambat"
"Teil 4 - Das Geheimnis der Geisterinsel","110.304","Sedang"
"Teil 2 - Das Geheimnis der Geisterinsel","114.792","Sedang"
"Teil 3 - Das Geheimnis der Geisterinsel","103.357","Sedang"
"Teil 8 - Das Geheimnis der Geisterinsel","89.886","Lambat"
"Teil 5 - Das Geheimnis der Geisterinsel","99.695","Sedang"
"Teil 15 - Das Geheimnis der Geisterinsel","100.66","Sedang"
"Teil 7 - Das Geheimnis der Geisterinsel","120.177","Cepat"
"Kesariya","94.009","Sedang"
"Shayad","135.875","Cepat"
"Kabira","84.027","Lambat"
"Tum Se Hi","130.015","Cepat"
"Khairiyat","124.914","Cepat"
"Tera Hone Laga Hoon","119.982","Sedang"
"Deva Deva","112.074","Sedang"
"Raabta","118.037","Sedang"
"Kalank (Title Track)","117.999","Sedang"
"Bhool Bhulaiyaa 2 Title Track","108.022","Sedang"
"Saibo","90.058","Sedang"
"Pal","133.885","Cepat"
"Rasiya","78.99","Lambat"
"Param Sundari","121.999","Cepat"
"Hasi - Female Version","143.901","Cepat"
"Munbe Vaa","141.126","Cepat"
"Tujh Mein Rab Dikhta Hai - Ii","147.076","Cepat"
"Main Agar Kahoon","146.868","Cepat"
"Piya O Re Piya","167.857","Cepat"
"Samjhawan","106.993","Sedang"
"Another Brick in the Wall, Pt. 2","104.114","Sedang"
"Wish You Were Here","122.861","Cepat"
"The Great Gig in the Sky","116.334","Sedang"
"Comfortably Numb","127.163","Cepat"
"Money","126.256","Cepat"
"Breathe (In the Air)","128.153","Cepat"
"Time","120.285","Cepat"
"Hey You","112.46","Sedang"
"Brain Damage","133.568","Cepat"
"Us and Them","72.518","Lambat"
"Chop Suey!","127.066","Cepat"
"Toxicity","116.68","Sedang"
"Lonely Day","113.108","Sedang"
"Kung Fu Fighting","110.016","Sedang"
"Aerials","79.342","Lambat"
"B.Y.O.B.","101.414","Sedang"
"Sugar","131.073","Cepat"
"Violent Pornography","142.707","Cepat"
"Hypnotize","154.016","Cepat"
"Spiders","137.855","Cepat"
"Prison Song","99.647","Sedang"
"Y'all Want a Single","118.034","Sedang"
"Basket Case","85.064","Lambat"
"American Idiot","186.113","Cepat"
"Good Riddance (Time of Your Life)","94.605","Sedang"
"Wake Me up When September Ends","104.98","Sedang"
"A.D.I.D.A.S.","110.364","Sedang"
"Boulevard of Broken Dreams","167.06","Cepat"
"When I Come Around","97.546","Sedang"
"21 Guns","159.779","Cepat"
"Holiday","146.525","Cepat"
"Holiday / Boulevard of Broken Dreams","167.086","Cepat"
"Brain Stew","75.958","Lambat"
"Experience","92.468","Sedang"
"Nuvole Bianche","132.614","Cepat"
"Una Mattina","131.413","Cepat"
"The Tree","90.804","Sedang"
"Wind Song","72.7","Lambat"
"Luminous","67.775","Lambat"
"Temple White","72.204","Lambat"
"Natural Light","68.61","Lambat"
"Primavera","141.628","Cepat"
"Rolling Like A Ball","175.159","Cepat"
"Supermassive Black Hole","120","Sedang"
"Uprising","128.019","Cepat"
"Starlight","121.61","Cepat"
"Hysteria","93.162","Sedang"
"Knights of Cydonia","137.114","Cepat"
"Time is Running Out","118.211","Sedang"
"Madness","180.301","Cepat"
"Psycho","125.02","Cepat"
"Plug in Baby","136.018","Cepat"
"Undisclosed Desires","115.997","Sedang"
"Dream On","78.031","Lambat"
"Crazy","162.086","Cepat"
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack","121.161","Cepat"
"Cryin'","105.872","Sedang"
"Walk This Way","108.709","Sedang"
"Dude (Looks Like A Lady)","126.294","Cepat"
"Sweet Emotion","99.436","Sedang"
"Amazing","139.454","Cepat"
"Rag Doll","93.448","Sedang"
"Janie's Got A Gun","115.107","Sedang"
"Duality","143.772","Cepat"
"Before I Forget","134.724","Cepat"
"Psychosocial","135.146","Cepat"
"Custer","131.066","Cepat"
"Wait and Bleed","93.345","Sedang"
"Unsainted","101.305","Sedang"
"The Devil in I","92.027","Sedang"
"Snuff","123.962","Cepat"
"The Dying Song (Time To Sing)","95.017","Sedang"
"Vermilion, Pt. 2","122.688","Cepat"
"Wonderwall - Remastered","174.323","Cepat"
"Don't Look Back In Anger - Remastered","162.97","Cepat"
"Stop Crying Your Heart Out","150.19","Cepat"
"P.S. I Love You","79.459","Lambat"
"Champagne Supernova - Remastered","150.249","Cepat"
"Live Forever - Remastered","90.96","Sedang"
"Supersonic - Remastered","104.058","Sedang"
"She's Electric - Remastered","125.414","Cepat"
"Half The World Away - Remastered","115.213","Sedang"
"Little Dark Age","97.512","Sedang"
"Stand By Me - Remastered","169.974","Cepat"
"Songbird","134.881","Cepat"
